University_Code,University_Name
1,國立政治大學
2,國立清華大學
3,國立臺灣大學
4,國立臺灣師範大學
5,國立成功大學
6,國立中興大學
7,國立交通大學
8,國立中央大學
9,國立中山大學
12,國立臺灣海洋大學
13,國立中正大學
14,國立高雄師範大學
15,國立彰化師範大學
16,國立陽明大學
17,國立臺北大學
18,國立嘉義大學
19,國立高雄大學
20,國立東華大學
21,國立暨南國際大學
22,國立臺灣科技大學
23,國立雲林科技大學
24,國立屏東科技大學
25,國立臺北科技大學
26,國立高雄第一科技大學
27,國立高雄應用科技大學
28,國立臺北藝術大學
29,國立臺灣藝術大學
30,國立臺東大學
31,國立宜蘭大學
32,國立聯合大學
33,國立虎尾科技大學
34,國立高雄海洋科技大學
35,國立臺南藝術大學
36,國立臺南大學
37,國立臺北教育大學
39,國立臺中教育大學
42,國立澎湖科技大學
43,國立勤益科技大學
44,國立體育大學
46,國立臺北護理健康大學
47,國立高雄餐旅大學
48,國立金門大學
49,國立臺灣體育運動大學
50,國立臺中科技大學
51,國立臺北商業大學
52,國立屏東大學
53,國立高雄科技大學
144,國立臺灣戲曲學院
221,國立臺南護理專科學校
1001,東海大學
1002,輔仁大學
1003,東吳大學
1004,中原大學
1005,淡江大學
1006,中國文化大學
1007,逢甲大學
1008,靜宜大學
1009,長庚大學
1010,元智大學
1011,中華大學
1012,大葉大學
1013,華梵大學
1014,義守大學
1015,世新大學
1016,銘傳大學
1017,實踐大學
1018,朝陽科技大學
1019,高雄醫學大學
1020,南華大學
1021,真理大學
1022,大同大學
1023,南臺學校財團法人南臺科技大學
1024,崑山科技大學
1025,嘉藥學校財團法人嘉南藥理大學
1026,樹德科技大學
1027,慈濟學校財團法人慈濟大學
1028,臺北醫學大學
1029,中山醫學大學
1030,龍華科技大學
1031,輔英科技大學
1032,明新學校財團法人明新科技大學
1033,長榮大學
1034,弘光科技大學
1035,中國醫藥大學
1036,健行學校財團法人健行科技大學
1037,正修學校財團法人正修科技大學
1038,萬能學校財團法人萬能科技大學
1039,玄奘大學
1040,建國科技大學
1041,明志科技大學
1042,高苑科技大學
1043,大仁科技大學
1044,聖約翰科技大學
1045,嶺東科技大學
1046,中國科技大學
1047,中臺科技大學
1048,亞洲大學
1049,開南大學
1050,佛光大學
1051,台南家專學校財團法人台南應用科技大學
1052,遠東科技大學
1053,光宇學校財團法人元培醫事科技大學
1054,景文科技大學
1055,中華醫事科技大學
1056,東南科技大學
1057,德明財經科技大學
1058,明道學校財團法人明道大學
1060,南開科技大學
1061,中華學校財團法人中華科技大學
1062,僑光科技大學
1063,廣亞學校財團法人育達科技大學
1064,美和學校財團法人美和科技大學
1065,吳鳳科技大學
1066,環球學校財團法人環球科技大學
1067,台灣首府學校財團法人台灣首府大學
1068,中州學校財團法人中州科技大學
1069,修平學校財團法人修平科技大學
1070,長庚學校財團法人長庚科技大學
1071,城市學校財團法人臺北城市科技大學
1072,大華學校財團法人大華科技大學
1073,醒吾學校財團法人醒吾科技大學
1074,南榮學校財團法人南榮科技大學
1075,文藻學校財團法人文藻外語大學
1076,華夏學校財團法人華夏科技大學
1077,慈濟學校財團法人慈濟科技大學
1078,致理學校財團法人致理科技大學
1079,康寧學校財團法人康寧大學
1080,宏國學校財團法人宏國德霖科技大學
1081,東方學校財團法人東方設計大學
1082,崇右學校財團法人崇右影藝科技大學
1083,台北海洋學校財團法人台北海洋科技大學
1148,大漢技術學院
1159,和春技術學院
1166,亞東技術學院
1176,稻江科技暨管理學院
1183,黎明技術學院
1185,經國管理暨健康學院
1188,大同技術學院
1189,亞太學校財團法人亞太創意技術學院
1192,臺灣觀光學院
1195,馬偕學校財團法人馬偕醫學院
1196,法鼓學校財團法人法鼓文理學院
1282,馬偕學校財團法人馬偕醫護管理專科學校
1286,耕莘健康管理專科學校
1289,育英醫護管理專科學校
1292,新生醫護管理專科學校
3002,臺北市立大學
1R02,學校財團法人中華浸信會基督教台灣浸會神學院
1R03,臺北基督學院
1R06,一貫道崇德學院